127.0.0.1 - - [29/May/2018:13:04:02 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:07 +0900] "GET /stylepet/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:16 +0900] "GET /stylepet/ HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:16 +0900] "GET /stylepet/image/dog4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:16 +0900] "GET /stylepet/image/dog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:16 +0900] "GET /stylepet/image/dog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:57 +0900] "GET /stylepet/ HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:57 +0900] "GET /stylepet/image/dog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:57 +0900] "GET /stylepet/image/dog4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:04:57 +0900] "GET /stylepet/image/dog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:10:40 +0900] "GET /stylepet/ HTTP/1.1" 200 1812
0:0:0:0:0:0:0:1 - - [29/May/2018:13:10:41 +0900] "GET /stylepet/style.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [29/May/2018:13:10:41 +0900] "GET /stylepet/image/dog4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:10:41 +0900] "GET /stylepet/image/dog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:10:41 +0900] "GET /stylepet/image/dog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:11:09 +0900] "GET /stylepet/ HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [29/May/2018:13:11:09 +0900] "GET /stylepet/style.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [29/May/2018:13:11:09 +0900] "GET /stylepet/image/dog4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:11:09 +0900] "GET /stylepet/image/dog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:11:10 +0900] "GET /stylepet/image/dog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:13:29:46 +0900] "GET /stylepet/top2.jsp HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [29/May/2018:13:29:46 +0900] "GET /stylepet/style.css HTTP/1.1" 404 1055
